season,state,zone,climate,population,epi_week_of_season,week_start,iso_year,iso_week,cases,hospitalizations,deaths,cases_per_100k,hosp_per_100k,deaths_per_100k
2023/2024,Zamfara,NW,sahel,5517793,2,2023-07-10,2023,28,1683,7,1,30.501,0.127,0.018
2023/2024,Zamfara,NW,sahel,5517793,3,2023-07-17,2023,29,1059,12,1,19.192,0.217,0.018
2023/2024,Zamfara,NW,sahel,5517793,4,2023-07-24,2023,30,1128,10,2,20.443,0.181,0.036
2023/2024,Zamfara,NW,sahel,5517793,5,2023-07-31,2023,31,1105,13,0,20.026,0.236,0.0
2023/2024,Zamfara,NW,sahel,5517793,6,2023-08-07,2023,32,1092,11,2,19.791,0.199,0.036
2023/2024,Zamfara,NW,sahel,5517793,7,2023-08-14,2023,33,1131,13,3,20.497,0.236,0.054
2023/2024,Zamfara,NW,sahel,5517793,8,2023-08-21,2023,34,860,8,0,15.586,0.145,0.0
2023/2024,Zamfara,NW,sahel,5517793,9,2023-08-28,2023,35,1285,20,2,23.288,0.362,0.036
2023/2024,Zamfara,NW,sahel,5517793,10,2023-09-04,2023,36,1479,8,2,26.804,0.145,0.036
2023/2024,Zamfara,NW,sahel,5517793,11,2023-09-11,2023,37,3638,22,7,65.932,0.399,0.127
2023/2024,Zamfara,NW,sahel,5517793,12,2023-09-18,2023,38,3210,54,14,58.175,0.979,0.254
2023/2024,Zamfara,NW,sahel,5517793,13,2023-09-25,2023,39,10380,88,9,188.119,1.595,0.163
2023/2024,Zamfara,NW,sahel,5517793,14,2023-10-02,2023,40,15359,177,65,278.354,3.208,1.178
2023/2024,Zamfara,NW,sahel,5517793,15,2023-10-09,2023,41,38529,599,48,698.268,10.856,0.87
2023/2024,Zamfara,NW,sahel,5517793,16,2023-10-16,2023,42,68692,592,118,1244.918,10.729,2.139
2023/2024,Zamfara,NW,sahel,5517793,17,2023-10-23,2023,43,49891,563,117,904.184,10.203,2.12
2023/2024,Zamfara,NW,sahel,5517793,18,2023-10-30,2023,44,70723,581,72,1281.726,10.53,1.305
2023/2024,Zamfara,NW,sahel,5517793,19,2023-11-06,2023,45,17400,190,12,315.343,3.443,0.217
2023/2024,Zamfara,NW,sahel,5517793,20,2023-11-13,2023,46,5203,53,13,94.295,0.961,0.236
2023/2024,Zamfara,NW,sahel,5517793,21,2023-11-20,2023,47,2647,59,4,47.972,1.069,0.072
2023/2024,Zamfara,NW,sahel,5517793,22,2023-11-27,2023,48,3581,35,3,64.899,0.634,0.054
2023/2024,Zamfara,NW,sahel,5517793,23,2023-12-04,2023,49,7685,74,6,139.277,1.341,0.109
2023/2024,Zamfara,NW,sahel,5517793,24,2023-12-11,2023,50,3789,49,8,68.669,0.888,0.145
2023/2024,Zamfara,NW,sahel,5517793,25,2023-12-18,2023,51,6805,155,14,123.328,2.809,0.254
2023/2024,Zamfara,NW,sahel,5517793,26,2023-12-25,2023,52,13364,170,44,242.198,3.081,0.797
2023/2024,Zamfara,NW,sahel,5517793,27,2024-01-01,2024,1,27029,177,35,489.852,3.208,0.634
2023/2024,Zamfara,NW,sahel,5517793,28,2024-01-08,2024,2,7360,189,23,133.387,3.425,0.417
2023/2024,Zamfara,NW,sahel,5517793,29,2024-01-15,2024,3,3042,64,5,55.131,1.16,0.091
2023/2024,Zamfara,NW,sahel,5517793,30,2024-01-22,2024,4,2224,27,2,40.306,0.489,0.036
2023/2024,Zamfara,NW,sahel,5517793,31,2024-01-29,2024,5,1384,28,2,25.082,0.507,0.036
2023/2024,Zamfara,NW,sahel,5517793,32,2024-02-05,2024,6,535,7,3,9.696,0.127,0.054
2023/2024,Zamfara,NW,sahel,5517793,33,2024-02-12,2024,7,1257,26,2,22.781,0.471,0.036
2023/2024,Zamfara,NW,sahel,5517793,34,2024-02-19,2024,8,955,6,2,17.308,0.109,0.036
2023/2024,Zamfara,NW,sahel,5517793,35,2024-02-26,2024,9,885,15,2,16.039,0.272,0.036
2023/2024,Zamfara,NW,sahel,5517793,36,2024-03-04,2024,10,592,11,3,10.729,0.199,0.054
2023/2024,Zamfara,NW,sahel,5517793,37,2024-03-11,2024,11,820,16,2,14.861,0.29,0.036
2023/2024,Zamfara,NW,sahel,5517793,38,2024-03-18,2024,12,1197,13,0,21.693,0.236,0.0
2023/2024,Zamfara,NW,sahel,5517793,39,2024-03-25,2024,13,1502,12,1,27.221,0.217,0.018
2023/2024,Zamfara,NW,sahel,5517793,40,2024-04-01,2024,14,1114,11,3,20.189,0.199,0.054
2023/2024,Zamfara,NW,sahel,5517793,41,2024-04-08,2024,15,1073,6,1,19.446,0.109,0.018
2023/2024,Zamfara,NW,sahel,5517793,42,2024-04-15,2024,16,952,12,4,17.253,0.217,0.072
2023/2024,Zamfara,NW,sahel,5517793,43,2024-04-22,2024,17,735,11,0,13.321,0.199,0.0
2023/2024,Zamfara,NW,sahel,5517793,44,2024-04-29,2024,18,1312,7,3,23.778,0.127,0.054
2023/2024,Zamfara,NW,sahel,5517793,45,2024-05-06,2024,19,970,12,2,17.579,0.217,0.036
2023/2024,Zamfara,NW,sahel,5517793,46,2024-05-13,2024,20,1046,10,1,18.957,0.181,0.018
2023/2024,Zamfara,NW,sahel,5517793,47,2024-05-20,2024,21,390,16,2,7.068,0.29,0.036
2023/2024,Zamfara,NW,sahel,5517793,48,2024-05-27,2024,22,1451,15,1,26.297,0.272,0.018
2023/2024,Zamfara,NW,sahel,5517793,49,2024-06-03,2024,23,2185,21,0,39.599,0.381,0.0
2023/2024,Zamfara,NW,sahel,5517793,50,2024-06-10,2024,24,946,14,5,17.145,0.254,0.091
2023/2024,Zamfara,NW,sahel,5517793,51,2024-06-17,2024,25,625,12,0,11.327,0.217,0.0
2023/2024,Zamfara,NW,sahel,5517793,52,2024-06-24,2024,26,936,10,2,16.963,0.181,0.036
2023/2024,Plateau,NC,savanna,5400974,1,2023-07-03,2023,27,3412,70,0,63.174,1.296,0.0
2023/2024,Plateau,NC,savanna,5400974,2,2023-07-10,2023,28,567,25,2,10.498,0.463,0.037
2023/2024,Plateau,NC,savanna,5400974,3,2023-07-17,2023,29,854,15,2,15.812,0.278,0.037
2023/2024,Plateau,NC,savanna,5400974,4,2023-07-24,2023,30,1481,5,1,27.421,0.093,0.019
2023/2024,Plateau,NC,savanna,5400974,5,2023-07-31,2023,31,1285,5,1,23.792,0.093,0.019
2023/2024,Plateau,NC,savanna,5400974,6,2023-08-07,2023,32,613,11,0,11.35,0.204,0.0
2023/2024,Plateau,NC,savanna,5400974,7,2023-08-14,2023,33,1069,5,2,19.793,0.093,0.037
2023/2024,Plateau,NC,savanna,5400974,8,2023-08-21,2023,34,1548,10,1,28.661,0.185,0.019
2023/2024,Plateau,NC,savanna,5400974,9,2023-08-28,2023,35,1625,18,4,30.087,0.333,0.074
2023/2024,Plateau,NC,savanna,5400974,10,2023-09-04,2023,36,3052,38,4,56.508,0.704,0.074
2023/2024,Plateau,NC,savanna,5400974,11,2023-09-11,2023,37,4398,79,7,81.43,1.463,0.13
2023/2024,Plateau,NC,savanna,5400974,12,2023-09-18,2023,38,17914,346,29,331.681,6.406,0.537
2023/2024,Plateau,NC,savanna,5400974,13,2023-09-25,2023,39,29225,504,36,541.106,9.332,0.667
2023/2024,Plateau,NC,savanna,5400974,14,2023-10-02,2023,40,44116,675,64,816.816,12.498,1.185
2023/2024,Plateau,NC,savanna,5400974,15,2023-10-09,2023,41,84006,1355,181,1555.386,25.088,3.351
2023/2024,Plateau,NC,savanna,5400974,16,2023-10-16,2023,42,48894,1202,52,905.281,22.255,0.963
2023/2024,Plateau,NC,savanna,5400974,17,2023-10-23,2023,43,31297,492,36,579.47,9.109,0.667
2023/2024,Plateau,NC,savanna,5400974,18,2023-10-30,2023,44,9798,217,26,181.412,4.018,0.481
2023/2024,Plateau,NC,savanna,5400974,19,2023-11-06,2023,45,1920,30,4,35.549,0.555,0.074
2023/2024,Plateau,NC,savanna,5400974,20,2023-11-13,2023,46,1142,17,1,21.144,0.315,0.019
2023/2024,Plateau,NC,savanna,5400974,21,2023-11-20,2023,47,2194,24,0,40.622,0.444,0.0
2023/2024,Plateau,NC,savanna,5400974,22,2023-11-27,2023,48,1839,38,8,34.049,0.704,0.148
2023/2024,Plateau,NC,savanna,5400974,23,2023-12-04,2023,49,2183,72,8,40.419,1.333,0.148
2023/2024,Plateau,NC,savanna,5400974,24,2023-12-11,2023,50,3895,79,8,72.117,1.463,0.148
2023/2024,Plateau,NC,savanna,5400974,25,2023-12-18,2023,51,15310,94,9,283.467,1.74,0.167
2023/2024,Plateau,NC,savanna,5400974,26,2023-12-25,2023,52,15858,237,12,293.614,4.388,0.222
2023/2024,Plateau,NC,savanna,5400974,27,2024-01-01,2024,1,9486,202,23,175.635,3.74,0.426
2023/2024,Plateau,NC,savanna,5400974,28,2024-01-08,2024,2,20284,110,15,375.562,2.037,0.278
2023/2024,Plateau,NC,savanna,5400974,29,2024-01-15,2024,3,4682,58,5,86.688,1.074,0.093
2023/2024,Plateau,NC,savanna,5400974,30,2024-01-22,2024,4,2282,48,5,42.252,0.889,0.093
2023/2024,Plateau,NC,savanna,5400974,31,2024-01-29,2024,5,2283,19,0,42.27,0.352,0.0
2023/2024,Plateau,NC,savanna,5400974,32,2024-02-05,2024,6,600,13,0,11.109,0.241,0.0
2023/2024,Plateau,NC,savanna,5400974,33,2024-02-12,2024,7,1305,15,1,24.162,0.278,0.019
2023/2024,Plateau,NC,savanna,5400974,34,2024-02-19,2024,8,987,12,1,18.274,0.222,0.019
2023/2024,Plateau,NC,savanna,5400974,35,2024-02-26,2024,9,787,7,4,14.571,0.13,0.074
2023/2024,Plateau,NC,savanna,5400974,36,2024-03-04,2024,10,767,13,0,14.201,0.241,0.0
2023/2024,Plateau,NC,savanna,5400974,37,2024-03-11,2024,11,1037,9,3,19.2,0.167,0.056
2023/2024,Plateau,NC,savanna,5400974,38,2024-03-18,2024,12,965,19,3,17.867,0.352,0.056
2023/2024,Plateau,NC,savanna,5400974,39,2024-03-25,2024,13,318,18,3,5.888,0.333,0.056
2023/2024,Plateau,NC,savanna,5400974,40,2024-04-01,2024,14,706,15,1,13.072,0.278,0.019
2023/2024,Plateau,NC,savanna,5400974,41,2024-04-08,2024,15,797,5,1,14.757,0.093,0.019
2023/2024,Plateau,NC,savanna,5400974,42,2024-04-15,2024,16,1372,13,2,25.403,0.241,0.037
2023/2024,Plateau,NC,savanna,5400974,43,2024-04-22,2024,17,930,8,2,17.219,0.148,0.037
2023/2024,Plateau,NC,savanna,5400974,44,2024-04-29,2024,18,826,7,1,15.294,0.13,0.019
2023/2024,Plateau,NC,savanna,5400974,45,2024-05-06,2024,19,689,10,1,12.757,0.185,0.019
2023/2024,Plateau,NC,savanna,5400974,46,2024-05-13,2024,20,717,21,3,13.275,0.389,0.056
2023/2024,Plateau,NC,savanna,5400974,47,2024-05-20,2024,21,740,16,0,13.701,0.296,0.0
2023/2024,Plateau,NC,savanna,5400974,48,2024-05-27,2024,22,723,15,1,13.386,0.278,0.019
2023/2024,Plateau,NC,savanna,5400974,49,2024-06-03,2024,23,332,13,0,6.147,0.241,0.0
2023/2024,Plateau,NC,savanna,5400974,50,2024-06-10,2024,24,1157,10,1,21.422,0.185,0.019
2023/2024,Plateau,NC,savanna,5400974,51,2024-06-17,2024,25,961,13,0,17.793,0.241,0.0
2023/2024,Plateau,NC,savanna,5400974,52,2024-06-24,2024,26,660,14,1,12.22,0.259,0.019
2023/2024,Enugu,SE,tropical,5396098,1,2023-07-03,2023,27,2583,26,2,47.868,0.482,0.037
2023/2024,Enugu,SE,tropical,5396098,2,2023-07-10,2023,28,786,7,0,14.566,0.13,0.0
2023/2024,Enugu,SE,tropical,5396098,3,2023-07-17,2023,29,808,16,1,14.974,0.297,0.019
2023/2024,Enugu,SE,tropical,5396098,4,2023-07-24,2023,30,789,16,2,14.622,0.297,0.037
2023/2024,Enugu,SE,tropical,5396098,5,2023-07-31,2023,31,605,9,0,11.212,0.167,0.0
2023/2024,Enugu,SE,tropical,5396098,6,2023-08-07,2023,32,701,9,0,12.991,0.167,0.0
2023/2024,Enugu,SE,tropical,5396098,7,2023-08-14,2023,33,824,17,2,15.27,0.315,0.037
2023/2024,Enugu,SE,tropical,5396098,8,2023-08-21,2023,34,1191,21,1,22.072,0.389,0.019
2023/2024,Enugu,SE,tropical,5396098,9,2023-08-28,2023,35,4057,60,2,75.184,1.112,0.037
2023/2024,Enugu,SE,tropical,5396098,10,2023-09-04,2023,36,10835,125,18,200.793,2.316,0.334
2023/2024,Enugu,SE,tropical,5396098,11,2023-09-11,2023,37,24804,307,26,459.665,5.689,0.482
2023/2024,Enugu,SE,tropical,5396098,12,2023-09-18,2023,38,27948,661,48,517.93,12.25,0.89
2023/2024,Enugu,SE,tropical,5396098,13,2023-09-25,2023,39,86255,1239,93,1598.47,22.961,1.723
2023/2024,Enugu,SE,tropical,5396098,14,2023-10-02,2023,40,68384,1543,59,1267.286,28.595,1.093
2023/2024,Enugu,SE,tropical,5396098,15,2023-10-09,2023,41,84921,1502,128,1573.748,27.835,2.372
2023/2024,Enugu,SE,tropical,5396098,16,2023-10-16,2023,42,39224,672,56,726.896,12.453,1.038
2023/2024,Enugu,SE,tropical,5396098,17,2023-10-23,2023,43,10942,262,18,202.776,4.855,0.334
2023/2024,Enugu,SE,tropical,5396098,18,2023-10-30,2023,44,3112,55,1,57.671,1.019,0.019
2023/2024,Enugu,SE,tropical,5396098,19,2023-11-06,2023,45,779,16,2,14.436,0.297,0.037
2023/2024,Enugu,SE,tropical,5396098,20,2023-11-13,2023,46,1277,12,2,23.665,0.222,0.037
2023/2024,Enugu,SE,tropical,5396098,21,2023-11-20,2023,47,860,32,0,15.937,0.593,0.0
2023/2024,Enugu,SE,tropical,5396098,22,2023-11-27,2023,48,2091,29,2,38.75,0.537,0.037
2023/2024,Enugu,SE,tropical,5396098,23,2023-12-04,2023,49,2591,45,2,48.016,0.834,0.037
2023/2024,Enugu,SE,tropical,5396098,24,2023-12-11,2023,50,3741,55,6,69.328,1.019,0.111
2023/2024,Enugu,SE,tropical,5396098,25,2023-12-18,2023,51,4499,107,1,83.375,1.983,0.019
2023/2024,Enugu,SE,tropical,5396098,26,2023-12-25,2023,52,9104,151,6,168.715,2.798,0.111
2023/2024,Enugu,SE,tropical,5396098,27,2024-01-01,2024,1,7730,125,9,143.252,2.316,0.167
2023/2024,Enugu,SE,tropical,5396098,28,2024-01-08,2024,2,9101,65,7,168.659,1.205,0.13
2023/2024,Enugu,SE,tropical,5396098,29,2024-01-15,2024,3,3249,67,1,60.21,1.242,0.019
2023/2024,Enugu,SE,tropical,5396098,30,2024-01-22,2024,4,1451,11,0,26.89,0.204,0.0
2023/2024,Enugu,SE,tropical,5396098,31,2024-01-29,2024,5,993,17,0,18.402,0.315,0.0
2023/2024,Enugu,SE,tropical,5396098,32,2024-02-05,2024,6,428,7,0,7.932,0.13,0.0
2023/2024,Enugu,SE,tropical,5396098,33,2024-02-12,2024,7,785,9,0,14.548,0.167,0.0
2023/2024,Enugu,SE,tropical,5396098,34,2024-02-19,2024,8,515,9,1,9.544,0.167,0.019
2023/2024,Enugu,SE,tropical,5396098,35,2024-02-26,2024,9,799,9,1,14.807,0.167,0.019
2023/2024,Enugu,SE,tropical,5396098,36,2024-03-04,2024,10,699,12,3,12.954,0.222,0.056
2023/2024,Enugu,SE,tropical,5396098,37,2024-03-11,2024,11,332,6,1,6.153,0.111,0.019
2023/2024,Enugu,SE,tropical,5396098,38,2024-03-18,2024,12,399,10,2,7.394,0.185,0.037
2023/2024,Enugu,SE,tropical,5396098,39,2024-03-25,2024,13,820,11,1,15.196,0.204,0.019
2023/2024,Enugu,SE,tropical,5396098,40,2024-04-01,2024,14,386,14,2,7.153,0.259,0.037
2023/2024,Enugu,SE,tropical,5396098,41,2024-04-08,2024,15,681,11,1,12.62,0.204,0.019
2023/2024,Enugu,SE,tropical,5396098,42,2024-04-15,2024,16,536,17,2,9.933,0.315,0.037
2023/2024,Enugu,SE,tropical,5396098,43,2024-04-22,2024,17,529,6,0,9.803,0.111,0.0
2023/2024,Enugu,SE,tropical,5396098,44,2024-04-29,2024,18,560,16,1,10.378,0.297,0.019
2023/2024,Enugu,SE,tropical,5396098,45,2024-05-06,2024,19,759,8,0,14.066,0.148,0.0
2023/2024,Enugu,SE,tropical,5396098,46,2024-05-13,2024,20,902,11,0,16.716,0.204,0.0
2023/2024,Enugu,SE,tropical,5396098,47,2024-05-20,2024,21,342,5,1,6.338,0.093,0.019
2023/2024,Enugu,SE,tropical,5396098,48,2024-05-27,2024,22,631,11,4,11.694,0.204,0.074
2023/2024,Enugu,SE,tropical,5396098,49,2024-06-03,2024,23,449,13,1,8.321,0.241,0.019
2023/2024,Enugu,SE,tropical,5396098,50,2024-06-10,2024,24,590,11,1,10.934,0.204,0.019
2023/2024,Enugu,SE,tropical,5396098,51,2024-06-17,2024,25,562,2,2,10.415,0.037,0.037
2023/2024,Enugu,SE,tropical,5396098,52,2024-06-24,2024,26,503,12,1,9.322,0.222,0.019
2023/2024,Adamawa,NE,savanna,5236948,1,2023-07-03,2023,27,3793,36,12,72.428,0.687,0.229
2023/2024,Adamawa,NE,savanna,5236948,2,2023-07-10,2023,28,633,10,1,12.087,0.191,0.019
2023/2024,Adamawa,NE,savanna,5236948,3,2023-07-17,2023,29,1174,7,3,22.418,0.134,0.057
2023/2024,Adamawa,NE,savanna,5236948,4,2023-07-24,2023,30,1214,12,0,23.181,0.229,0.0
2023/2024,Adamawa,NE,savanna,5236948,5,2023-07-31,2023,31,877,4,3,16.746,0.076,0.057
2023/2024,Adamawa,NE,savanna,5236948,6,2023-08-07,2023,32,834,8,1,15.925,0.153,0.019
2023/2024,Adamawa,NE,savanna,5236948,7,2023-08-14,2023,33,1307,21,0,24.957,0.401,0.0
2023/2024,Adamawa,NE,savanna,5236948,8,2023-08-21,2023,34,2085,10,0,39.813,0.191,0.0
2023/2024,Adamawa,NE,savanna,5236948,9,2023-08-28,2023,35,1929,29,2,36.834,0.554,0.038
2023/2024,Adamawa,NE,savanna,5236948,10,2023-09-04,2023,36,1892,16,8,36.128,0.306,0.153
2023/2024,Adamawa,NE,savanna,5236948,11,2023-09-11,2023,37,6162,89,9,117.664,1.699,0.172
2023/2024,Adamawa,NE,savanna,5236948,12,2023-09-18,2023,38,13495,203,16,257.688,3.876,0.306
2023/2024,Adamawa,NE,savanna,5236948,13,2023-09-25,2023,39,43225,537,51,825.385,10.254,0.974
2023/2024,Adamawa,NE,savanna,5236948,14,2023-10-02,2023,40,53136,925,109,1014.637,17.663,2.081
2023/2024,Adamawa,NE,savanna,5236948,15,2023-10-09,2023,41,82507,1023,85,1575.479,19.534,1.623
2023/2024,Adamawa,NE,savanna,5236948,16,2023-10-16,2023,42,78374,564,80,1496.559,10.77,1.528
2023/2024,Adamawa,NE,savanna,5236948,17,2023-10-23,2023,43,28473,236,46,543.695,4.506,0.878
2023/2024,Adamawa,NE,savanna,5236948,18,2023-10-30,2023,44,7545,111,9,144.072,2.12,0.172
2023/2024,Adamawa,NE,savanna,5236948,19,2023-11-06,2023,45,1981,40,3,37.827,0.764,0.057
2023/2024,Adamawa,NE,savanna,5236948,20,2023-11-13,2023,46,1596,13,4,30.476,0.248,0.076
2023/2024,Adamawa,NE,savanna,5236948,21,2023-11-20,2023,47,1152,14,2,21.998,0.267,0.038
2023/2024,Adamawa,NE,savanna,5236948,22,2023-11-27,2023,48,2825,24,3,53.944,0.458,0.057
2023/2024,Adamawa,NE,savanna,5236948,23,2023-12-04,2023,49,2335,40,3,44.587,0.764,0.057
2023/2024,Adamawa,NE,savanna,5236948,24,2023-12-11,2023,50,4435,50,10,84.687,0.955,0.191
2023/2024,Adamawa,NE,savanna,5236948,25,2023-12-18,2023,51,8495,184,12,162.213,3.513,0.229
2023/2024,Adamawa,NE,savanna,5236948,26,2023-12-25,2023,52,5346,130,19,102.082,2.482,0.363
2023/2024,Adamawa,NE,savanna,5236948,27,2024-01-01,2024,1,9163,209,34,174.968,3.991,0.649
2023/2024,Adamawa,NE,savanna,5236948,28,2024-01-08,2024,2,5917,71,22,112.986,1.356,0.42
2023/2024,Adamawa,NE,savanna,5236948,29,2024-01-15,2024,3,9291,71,13,177.412,1.356,0.248
2023/2024,Adamawa,NE,savanna,5236948,30,2024-01-22,2024,4,2815,49,3,53.753,0.936,0.057
2023/2024,Adamawa,NE,savanna,5236948,31,2024-01-29,2024,5,702,14,0,13.405,0.267,0.0
2023/2024,Adamawa,NE,savanna,5236948,32,2024-02-05,2024,6,469,10,1,8.956,0.191,0.019
2023/2024,Adamawa,NE,savanna,5236948,33,2024-02-12,2024,7,754,13,0,14.398,0.248,0.0
2023/2024,Adamawa,NE,savanna,5236948,34,2024-02-19,2024,8,756,8,2,14.436,0.153,0.038
2023/2024,Adamawa,NE,savanna,5236948,35,2024-02-26,2024,9,824,12,1,15.734,0.229,0.019
2023/2024,Adamawa,NE,savanna,5236948,36,2024-03-04,2024,10,511,11,1,9.758,0.21,0.019
2023/2024,Adamawa,NE,savanna,5236948,37,2024-03-11,2024,11,322,12,2,6.149,0.229,0.038
2023/2024,Adamawa,NE,savanna,5236948,38,2024-03-18,2024,12,902,13,0,17.224,0.248,0.0
2023/2024,Adamawa,NE,savanna,5236948,39,2024-03-25,2024,13,693,7,3,13.233,0.134,0.057
2023/2024,Adamawa,NE,savanna,5236948,40,2024-04-01,2024,14,1111,20,0,21.215,0.382,0.0
2023/2024,Adamawa,NE,savanna,5236948,41,2024-04-08,2024,15,702,25,2,13.405,0.477,0.038
2023/2024,Adamawa,NE,savanna,5236948,42,2024-04-15,2024,16,801,7,4,15.295,0.134,0.076
2023/2024,Adamawa,NE,savanna,5236948,43,2024-04-22,2024,17,581,14,0,11.094,0.267,0.0
2023/2024,Adamawa,NE,savanna,5236948,44,2024-04-29,2024,18,949,10,4,18.121,0.191,0.076
2023/2024,Adamawa,NE,savanna,5236948,45,2024-05-06,2024,19,622,11,2,11.877,0.21,0.038
2023/2024,Adamawa,NE,savanna,5236948,46,2024-05-13,2024,20,1243,15,1,23.735,0.286,0.019
2023/2024,Adamawa,NE,savanna,5236948,47,2024-05-20,2024,21,1444,15,0,27.573,0.286,0.0
2023/2024,Adamawa,NE,savanna,5236948,48,2024-05-27,2024,22,1107,8,2,21.138,0.153,0.038
2023/2024,Adamawa,NE,savanna,5236948,49,2024-06-03,2024,23,998,12,3,19.057,0.229,0.057
2023/2024,Adamawa,NE,savanna,5236948,50,2024-06-10,2024,24,700,9,0,13.367,0.172,0.0
2023/2024,Adamawa,NE,savanna,5236948,51,2024-06-17,2024,25,1718,13,4,32.805,0.248,0.076
2023/2024,Adamawa,NE,savanna,5236948,52,2024-06-24,2024,26,644,16,2,12.297,0.306,0.038
2023/2024,Kogi,NC,savanna,5053734,1,2023-07-03,2023,27,4227,64,6,83.641,1.266,0.119
2023/2024,Kogi,NC,savanna,5053734,2,2023-07-10,2023,28,1256,14,3,24.853,0.277,0.059
2023/2024,Kogi,NC,savanna,5053734,3,2023-07-17,2023,29,824,10,2,16.305,0.198,0.04
2023/2024,Kogi,NC,savanna,5053734,4,2023-07-24,2023,30,798,8,3,15.79,0.158,0.059
2023/2024,Kogi,NC,savanna,5053734,5,2023-07-31,2023,31,795,16,2,15.731,0.317,0.04
2023/2024,Kogi,NC,savanna,5053734,6,2023-08-07,2023,32,465,14,0,9.201,0.277,0.0
2023/2024,Kogi,NC,savanna,5053734,7,2023-08-14,2023,33,828,23,1,16.384,0.455,0.02
2023/2024,Kogi,NC,savanna,5053734,8,2023-08-21,2023,34,1144,12,1,22.637,0.237,0.02
2023/2024,Kogi,NC,savanna,5053734,9,2023-08-28,2023,35,1638,26,2,32.412,0.514,0.04
2023/2024,Kogi,NC,savanna,5053734,10,2023-09-04,2023,36,1915,42,8,37.893,0.831,0.158
2023/2024,Kogi,NC,savanna,5053734,11,2023-09-11,2023,37,3533,64,3,69.909,1.266,0.059
2023/2024,Kogi,NC,savanna,5053734,12,2023-09-18,2023,38,16286,266,21,322.257,5.263,0.416
2023/2024,Kogi,NC,savanna,5053734,13,2023-09-25,2023,39,42882,509,67,848.521,10.072,1.326
2023/2024,Kogi,NC,savanna,5053734,14,2023-10-02,2023,40,60771,469,95,1202.497,9.28,1.88
2023/2024,Kogi,NC,savanna,5053734,15,2023-10-09,2023,41,62973,620,92,1246.069,12.268,1.82
2023/2024,Kogi,NC,savanna,5053734,16,2023-10-16,2023,42,75191,924,119,1487.831,18.284,2.355
2023/2024,Kogi,NC,savanna,5053734,17,2023-10-23,2023,43,21626,288,25,427.921,5.699,0.495
2023/2024,Kogi,NC,savanna,5053734,18,2023-10-30,2023,44,8632,107,17,170.804,2.117,0.336
2023/2024,Kogi,NC,savanna,5053734,19,2023-11-06,2023,45,4783,33,5,94.643,0.653,0.099
2023/2024,Kogi,NC,savanna,5053734,20,2023-11-13,2023,46,1749,26,3,34.608,0.514,0.059
2023/2024,Kogi,NC,savanna,5053734,21,2023-11-20,2023,47,1287,30,2,25.466,0.594,0.04
2023/2024,Kogi,NC,savanna,5053734,22,2023-11-27,2023,48,3429,43,1,67.851,0.851,0.02
2023/2024,Kogi,NC,savanna,5053734,23,2023-12-04,2023,49,3737,58,6,73.945,1.148,0.119
2023/2024,Kogi,NC,savanna,5053734,24,2023-12-11,2023,50,6839,50,10,135.326,0.989,0.198
2023/2024,Kogi,NC,savanna,5053734,25,2023-12-18,2023,51,8780,229,18,173.733,4.531,0.356
2023/2024,Kogi,NC,savanna,5053734,26,2023-12-25,2023,52,8392,195,13,166.055,3.859,0.257
2023/2024,Kogi,NC,savanna,5053734,27,2024-01-01,2024,1,9181,154,9,181.668,3.047,0.178
2023/2024,Kogi,NC,savanna,5053734,28,2024-01-08,2024,2,6987,122,13,138.254,2.414,0.257
2023/2024,Kogi,NC,savanna,5053734,29,2024-01-15,2024,3,8180,44,5,161.861,0.871,0.099
2023/2024,Kogi,NC,savanna,5053734,30,2024-01-22,2024,4,1933,27,4,38.249,0.534,0.079
2023/2024,Kogi,NC,savanna,5053734,31,2024-01-29,2024,5,945,21,0,18.699,0.416,0.0
2023/2024,Kogi,NC,savanna,5053734,32,2024-02-05,2024,6,751,8,1,14.86,0.158,0.02
2023/2024,Kogi,NC,savanna,5053734,33,2024-02-12,2024,7,1123,11,2,22.221,0.218,0.04
2023/2024,Kogi,NC,savanna,5053734,34,2024-02-19,2024,8,855,9,0,16.918,0.178,0.0
2023/2024,Kogi,NC,savanna,5053734,35,2024-02-26,2024,9,784,17,3,15.513,0.336,0.059
2023/2024,Kogi,NC,savanna,5053734,36,2024-03-04,2024,10,788,13,1,15.592,0.257,0.02
2023/2024,Kogi,NC,savanna,5053734,37,2024-03-11,2024,11,929,8,2,18.382,0.158,0.04
2023/2024,Kogi,NC,savanna,5053734,38,2024-03-18,2024,12,467,22,3,9.241,0.435,0.059
2023/2024,Kogi,NC,savanna,5053734,39,2024-03-25,2024,13,911,7,1,18.026,0.139,0.02
2023/2024,Kogi,NC,savanna,5053734,40,2024-04-01,2024,14,647,16,0,12.802,0.317,0.0
2023/2024,Kogi,NC,savanna,5053734,41,2024-04-08,2024,15,1026,12,0,20.302,0.237,0.0
2023/2024,Kogi,NC,savanna,5053734,42,2024-04-15,2024,16,1123,17,0,22.221,0.336,0.0
2023/2024,Kogi,NC,savanna,5053734,43,2024-04-22,2024,17,867,17,1,17.156,0.336,0.02
2023/2024,Kogi,NC,savanna,5053734,44,2024-04-29,2024,18,1416,7,3,28.019,0.139,0.059
2023/2024,Kogi,NC,savanna,5053734,45,2024-05-06,2024,19,542,12,0,10.725,0.237,0.0
